Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Somerset Levels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]",2020-01-19 17:57:05
Ouse Fen and Pits (Hanson/RSPB),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jun', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[3, 1, 'Apr', 0, None, None]",2020-01-19 17:57:05
Stodmarsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[4, 1, 'Dec', 0, None, None]",nan,"[4, 1, 'Dec', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]",2020-01-19 17:57:05
Dearne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Jan', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'May', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[4, 1, 'May', 0, None, None]","[2, 1, 'Sep', 0, None, None]",2020-01-19 17:57:05
Lee Valley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[5, 1, 'Oct', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[2, 1, 'Oct', 0, None, None]","[1, 1, 'Nov', 0, None, None]",2020-01-19 17:57:05
London Wetland Centre,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]",2020-01-19 17:57:05
Burry Inlet,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Jun', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 17:57:05
Dungeness and Rye Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[1, 1, 'Oct', 0, None, None]",2020-01-19 17:57:05
Gosforth Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[1, 1, 'Sep', 0, None, None]",2020-01-19 17:57:05
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[2, 1, 'May', 0, None, None]","[3, 1, 'May', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[2, 1, 'Nov', 0, None, None]",2020-01-19 17:57:05
